CBPStation,Year,Month,Salinity
CB7.2E,2016,2,22.06
CB7.2E,2016,3,21.77
CB7.2E,2016,4,18.3
CB7.2E,2016,5,18.4
CB7.2E,2016,6,20.615
CB7.2E,2016,7,19.465
CB7.2E,2016,8,22.535
CB7.2E,2016,9,25.26
CB7.2E,2016,10,23.51
CB7.2E,2016,11,24.28
CB7.2E,2016,12,25.04
CB7.2E,2017,2,22.6
CB7.2E,2017,3,21.95
CB7.2E,2017,4,20.92
CB7.2E,2017,5,21.45
CB7.2E,2017,6,20.49
CB7.2E,2017,7,17.28
CB7.2E,2017,8,22.52
CB7.2E,2017,9,23.43
CB7.2E,2017,10,23.59
CB7.2E,2018,1,22.18
CB7.2E,2018,2,22.03
CB7.2E,2018,3,20.34
CB7.2E,2018,4,20.74
CB7.2E,2018,5,20.3
CB7.2E,2018,6,16.375
CB7.2E,2018,7,17.96
CB7.2E,2018,8,14.15
CB7.2E,2018,11,17.14
CB7.2E,2018,12,15.96
CB7.2E,2019,1,12.62
CB7.2E,2019,2,15.99
CB7.2E,2019,3,14.72
CB7.2E,2019,4,13.51
CB7.2E,2019,6,14.21
CB7.2E,2019,7,17.48
CB7.2E,2019,8,20.49
CB7.2E,2019,9,18.76
CB7.2E,2019,10,23.95
CB7.2E,2019,11,24.17
CB7.2E,2020,1,21.44
CB7.2E,2020,2,21.09
CB7.2E,2020,5,15.86
CB7.2E,2020,6,16.74
CB7.2E,2020,7,21.32
CB7.2E,2020,8,18.62
CB7.2E,2020,9,23.49
CB7.2E,2020,10,22.77
CB7.2E,2020,11,20.6
CB7.2E,2021,1,20.505
CB7.2E,2021,2,21.37416667
CB7.2E,2021,4,20.3725
CB7.2E,2021,5,20.40833333
CB7.2E,2021,6,21.65391304
CB7.2E,2021,7,22.17590909
CB7.2E,2021,8,23.02083333
CB7.2E,2021,9,20.58454545
CB7.2E,2021,10,25.35333333
CB7.2E,2021,11,22.55090909
CB7.2E,2021,12,21.53916667
WE4.1,2016,1,21.76
WE4.1,2016,2,20.17
WE4.1,2016,3,19.77
WE4.1,2016,4,19.8
WE4.1,2016,5,18.47
WE4.1,2016,6,18.685
WE4.1,2016,7,20.53
WE4.1,2016,8,22.095
WE4.1,2016,9,22.23
WE4.1,2016,10,21.38
WE4.1,2016,11,22.42
WE4.1,2016,12,23.46
WE4.1,2017,1,21.87
WE4.1,2017,2,22.2
WE4.1,2017,3,21.33
WE4.1,2017,4,21.25
WE4.1,2017,5,20.53
WE4.1,2017,6,18.72
WE4.1,2017,7,20.505
WE4.1,2017,8,20.12
WE4.1,2017,9,19.29
WE4.1,2017,10,20.22
WE4.1,2017,11,21.28
WE4.1,2018,1,21.99
WE4.1,2018,2,21.23
WE4.1,2018,3,20.15
WE4.1,2018,4,19.86
WE4.1,2018,5,18.51
WE4.1,2018,6,16.01
WE4.1,2018,7,16.89
WE4.1,2018,8,16.095
WE4.1,2018,9,14.79
WE4.1,2018,10,14.84
WE4.1,2018,11,14.67
WE4.1,2018,12,11.28
WE4.1,2019,1,12.34
WE4.1,2019,2,12.07
WE4.1,2019,3,12.33
WE4.1,2019,4,14.94
WE4.1,2019,5,13.37
WE4.1,2019,6,14.665
WE4.1,2019,7,16.24
WE4.1,2019,8,18.48
WE4.1,2019,9,19.21
WE4.1,2019,10,21.25
WE4.1,2019,11,21.93
WE4.1,2019,12,22.09
WE4.1,2020,2,17.78
WE4.1,2020,5,17.25
WE4.1,2020,6,18.31
WE4.1,2020,7,18.58
WE4.1,2020,8,19.805
WE4.1,2020,10,19.66
WE4.1,2020,11,20.51
WE4.1,2021,1,17.905
WE4.1,2021,2,18.3275
WE4.1,2021,3,17.108
WE4.1,2021,4,16.6775
WE4.1,2021,5,18.8925
WE4.1,2021,6,18.52
WE4.1,2021,7,19.9775
WE4.1,2021,8,20.107
WE4.1,2021,9,20.6875
WE4.1,2021,10,20.025
WE4.1,2021,11,19.954
WE4.1,2021,12,19.488
WE4.3,2016,1,20.92
WE4.3,2016,2,19.7
WE4.3,2016,3,19.04
WE4.3,2016,4,21.08
WE4.3,2016,5,18.94
WE4.3,2016,6,19.28
WE4.3,2016,7,20.73
WE4.3,2016,8,22.515
WE4.3,2016,9,22.57
WE4.3,2016,10,20.69
WE4.3,2016,11,21.94
WE4.3,2016,12,22.56
WE4.3,2017,1,21.64
WE4.3,2017,2,21.57
WE4.3,2017,3,21.08
WE4.3,2017,4,21.42
WE4.3,2017,5,20.07
WE4.3,2017,6,19.455
WE4.3,2017,7,21.22
WE4.3,2017,8,20.095
WE4.3,2017,9,19.65
WE4.3,2017,10,20.87
WE4.3,2017,11,21.44
WE4.3,2018,1,21.02
WE4.3,2018,2,21.47
WE4.3,2018,3,20.56
WE4.3,2018,4,19.83
WE4.3,2018,5,18.55
WE4.3,2018,6,15.31
WE4.3,2018,7,16.88
WE4.3,2018,8,16.45
WE4.3,2018,9,15.01
WE4.3,2018,10,14.81
WE4.3,2018,11,15.27
WE4.3,2018,12,12.79
WE4.3,2019,1,11.65
WE4.3,2019,2,13.57
WE4.3,2019,3,12.04
WE4.3,2019,4,15.73
WE4.3,2019,5,13.83
WE4.3,2019,6,15.68
WE4.3,2019,7,17.135
WE4.3,2019,8,19.29
WE4.3,2019,9,19.62
WE4.3,2019,10,22.03
WE4.3,2019,11,22.21
WE4.3,2019,12,22.18
WE4.3,2020,2,18.9
WE4.3,2020,5,17.41
WE4.3,2020,6,18.29
WE4.3,2020,7,19.26
WE4.3,2020,8,20.585
WE4.3,2020,10,19.19
WE4.3,2020,11,19.46
WE4.3,2021,1,17.8625
WE4.3,2021,2,18.495
WE4.3,2021,3,16.4925
WE4.3,2021,4,16.085
WE4.3,2021,5,18.812
WE4.3,2021,6,19.01125
WE4.3,2021,7,21.465
WE4.3,2021,8,20.57875
WE4.3,2021,9,21.085
WE4.3,2021,10,20.26
WE4.3,2021,11,20.126
WE4.3,2021,12,20.48
