TempLogger,Year,Month,Avg_Temp_C,SD_Temp_C,SE_Temp_C
Brown's Bay,2016,1,6.052681452,3.029027823,0.078523888
Brown's Bay,2016,2,6.110818966,2.395146012,0.064196652
Brown's Bay,2016,3,12.24910618,2.924602561,0.07581679
Brown's Bay,2016,4,15.45828472,2.682552209,0.070691458
Brown's Bay,2016,5,19.68932796,2.303525372,0.059716113
Brown's Bay,2016,6,25.69363636,1.549438958,0.033117046
Brown's Bay,2016,7,29.4086828,2.019629456,0.037021604
Brown's Bay,2016,8,29.3577957,1.414472748,0.025928543
Brown's Bay,2016,9,25.58090278,1.498172564,0.027916797
Brown's Bay,2016,10,20.2390121,2.726524114,0.049979612
Brown's Bay,2016,11,12.86338194,2.824549235,0.052632367
Brown's Bay,2016,12,7.916552419,2.251041487,0.041263592
Brown's Bay,2017,1,6.416236559,2.226065108,0.040805753
Brown's Bay,2017,2,8.559412202,2.621779984,0.050568679
Brown's Bay,2017,3,10.34823253,2.898167007,0.053125979
Brown's Bay,2017,4,17.65802083,2.831441573,0.052760799
Brown's Bay,2017,5,20.59334677,2.364675206,0.0433466
Brown's Bay,2017,6,24.91834722,1.904963902,0.050200207
Brown's Bay,2018,6,27.28255682,1.770521571,0.054484035
Brown's Bay,2018,7,27.90375672,1.607510429,0.041672767
Brown's Bay,2018,8,28.95932124,1.326368554,0.034384503
Brown's Bay,2018,9,27.50501389,2.039382648,0.053742452
Brown's Bay,2018,10,20.47905914,4.745682573,0.12302609
Brown's Bay,2018,11,12.23971528,3.419859384,0.090121208
Brown's Bay,2018,12,7.625208333,1.406086045,0.036451083
Brown's Bay,2019,1,6.392896505,2.371373948,0.061475006
Brown's Bay,2019,2,6.867745536,1.433675527,0.039106706
Brown's Bay,2019,3,9.594811828,2.344846106,0.060787304
Brown's Bay,2019,4,16.86477778,2.999893967,0.079054147
Brown's Bay,2019,5,22.79432709,1.740546998,0.050798596
Brown's Bay,2020,6,27.43208333,1.002746316,0.059087393
Brown's Bay,2020,7,29.95514113,1.212680528,0.031437278
Brown's Bay,2020,8,28.59538306,1.204683748,0.031229971
Brown's Bay,2020,9,24.17929861,3.247765404,0.085586133
Brown's Bay,2020,10,19.84669355,1.209450662,0.031353548
Brown's Bay,2020,11,14.6788125,2.255183554,0.059429305
Brown's Bay,2020,12,8.18593414,1.704068177,0.04417591
Brown's Bay,2021,1,6.196908602,1.297811872,0.033644206
Brown's Bay,2021,2,4.885215774,1.442105202,0.039336644
Brown's Bay,2021,3,10.65523522,2.788571802,0.072290356
Brown's Bay,2021,4,16.08165278,2.262597913,0.05962469
Brown's Bay,2021,5,20.78967742,2.626203077,0.068081143
Brown's Bay,2021,6,25.5864727,2.026985342,0.05432891
Brown's Bay,2021,7,28.03525538,1.308807602,0.033929257
Brown's Bay,2021,8,28.5184879,1.782925725,0.046220196
Brown's Bay,2021,9,25.3989375,1.686758938,0.044450001
Brown's Bay,2021,10,20.95079301,2.166928796,0.056175012
Brown's Bay,2021,11,12.28961806,2.629041697,0.069281332
Brown's Bay,2021,12,9.610651882,1.50388881,0.038986501
Horn Harbor,2016,6,25.79555556,0.74698347,0.062248623
Horn Harbor,2016,7,28.48606855,1.80128608,0.046696166
Horn Harbor,2016,8,28.78392473,1.397431518,0.036226725
Horn Harbor,2016,9,25.05329167,1.490650733,0.039282096
Horn Harbor,2016,10,19.74995968,2.522480046,0.065392249
Horn Harbor,2016,11,12.88634722,2.457452336,0.064759555
Horn Harbor,2016,12,7.886236559,2.023860946,0.052466151
Horn Harbor,2017,1,5.895477151,2.194763938,0.056896605
Horn Harbor,2017,2,7.483110119,2.112160197,0.057613893
Horn Harbor,2017,3,9.300974462,2.617740403,0.067861759
Horn Harbor,2017,4,16.41484722,3.032799408,0.079921282
Horn Harbor,2017,5,19.9163172,2.325270261,0.060279823
Horn Harbor,2017,6,24.6865982,2.418349858,0.06126824
Horn Harbor,2017,7,28.3212164,1.53177866,0.039709512
Horn Harbor,2017,8,26.63866263,1.71606442,0.044486898
Horn Harbor,2017,9,24.01375,1.446284005,0.03811293
Horn Harbor,2017,10,20.72471774,2.360674319,0.061197631
Horn Harbor,2017,11,13.07290972,3.090805427,0.081449875
Horn Harbor,2017,12,7.441552419,3.114162079,0.080730891
Horn Harbor,2018,1,2.211686828,2.124371479,0.055071765
Horn Harbor,2018,2,6.711279762,2.717581488,0.074128112
Horn Harbor,2018,3,7.569563172,1.689332888,0.043793915
Horn Harbor,2018,4,13.11655556,2.306865319,0.060791239
Horn Harbor,2018,5,21.70524194,2.45883832,0.063742414
Horn Harbor,2018,6,25.67005933,2.23692019,0.057432497
Horn Harbor,2018,7,27.58239919,1.660106772,0.043036263
Horn Harbor,2018,8,28.71737903,1.243002574,0.032223341
Horn Harbor,2018,9,27.25119444,1.85505555,0.048885006
Horn Harbor,2018,10,20.68451613,4.449513234,0.115348257
Horn Harbor,2018,11,12.371375,3.317105359,0.087413401
Horn Harbor,2018,12,7.508857527,1.434473596,0.037186996
Horn Harbor,2019,1,5.986001344,2.139251154,0.055457503
Horn Harbor,2019,2,6.208110119,1.244036497,0.033933877
Horn Harbor,2019,3,9.006538978,2.262401774,0.058650034
Horn Harbor,2019,4,15.67755556,2.885931512,0.076050973
Horn Harbor,2019,5,22.50389785,2.213821715,0.057390654
Horn Harbor,2019,6,25.49787356,1.670568487,0.044775935
Horn Harbor,2019,7,28.6674328,1.412771031,0.036624383
Horn Harbor,2019,8,27.03049731,1.736696079,0.045021749
Horn Harbor,2019,9,25.15170833,1.594910468,0.042029581
Horn Harbor,2019,10,19.80299059,2.458817901,0.063741885
Horn Harbor,2019,11,11.75563194,2.762028193,0.072785834
Horn Harbor,2019,12,7.994442204,1.331666601,0.034521848
Horn Harbor,2020,1,7.149952957,1.994940254,0.051716417
Horn Harbor,2020,2,7.599260057,1.066661359,0.028589525
Horn Harbor,2020,3,11.23840054,2.275184362,0.058981407
Horn Harbor,2020,4,14.32252083,1.518994892,0.04002903
Horn Harbor,2020,5,18.24924731,2.413319122,0.062562384
Horn Harbor,2020,6,24.06015086,2.22310766,0.05958554
Horn Harbor,2020,7,29.36519489,1.309978604,0.033959613
Horn Harbor,2020,8,28.31543011,1.187534256,0.030785391
Horn Harbor,2020,9,23.89293056,3.324048039,0.087596357
Horn Harbor,2020,10,19.65429435,1.117593262,0.028972256
Horn Harbor,2020,11,14.83975694,2.149480829,0.056643793
Horn Harbor,2020,12,8.56858871,1.809081595,0.046898256
Horn Harbor,2021,1,6.168958333,1.241726049,0.032190248
Horn Harbor,2021,2,4.565833333,1.224109586,0.033390326
Horn Harbor,2021,3,9.568938172,2.67424702,0.069326624
Horn Harbor,2021,4,15.15990972,2.376598952,0.062628881
Horn Harbor,2021,5,20.02451613,2.416727635,0.062650745
Horn Harbor,2021,6,25.25997126,2.073353521,0.055571707
Horn Harbor,2021,7,27.88340054,1.246212174,0.032306546
Horn Harbor,2021,8,28.21333333,1.810733199,0.046941071
Horn Harbor,2021,9,25.41734722,1.593811143,0.042000611
Horn Harbor,2021,10,21.09769489,1.987899371,0.051533891
Horn Harbor,2021,11,12.62515278,2.574607868,0.067846875
Horn Harbor,2021,12,9.536680108,1.269235323,0.032903393
Hungars Creek,2016,1,5.772325269,3.282684509,0.085099632
Hungars Creek,2016,2,5.547686782,2.175833901,0.05831847
Hungars Creek,2016,3,10.51359543,2.570990439,0.066649822
Hungars Creek,2016,4,14.16857639,2.285310553,0.060223221
Hungars Creek,2016,5,18.61008065,2.453689314,0.063608932
Hungars Creek,2016,6,24.4009993,1.742403791,0.046222323
Hungars Creek,2016,7,28.66573925,1.906244647,0.04941709
Hungars Creek,2016,8,28.79108199,1.407640922,0.036491391
Hungars Creek,2016,9,25.43429167,1.323633174,0.034880797
Hungars Creek,2016,10,19.79228495,3.011721087,0.078075232
Hungars Creek,2016,11,12.82325,3.062744116,0.080710394
Hungars Creek,2016,12,7.895759409,2.32808512,0.060352795
Hungars Creek,2017,1,5.777419355,2.150360394,0.055745496
Hungars Creek,2017,2,7.234657738,2.111395427,0.057593032
Hungars Creek,2017,3,8.759912634,2.552070021,0.066159333
Hungars Creek,2017,4,15.69986806,2.891730977,0.076203802
Hungars Creek,2017,5,19.60145833,2.154395381,0.055850099
Hungars Creek,2017,6,25.08339463,2.180223617,0.05797975
Hungars Creek,2017,7,28.47465054,1.648804629,0.042743269
Hungars Creek,2017,8,26.80346102,1.528605448,0.03962725
Hungars Creek,2017,9,24.10527083,1.182929631,0.031172933
Hungars Creek,2017,10,20.78296371,2.472563153,0.064098214
Hungars Creek,2017,11,13.34119444,3.018731186,0.079550552
Hungars Creek,2017,12,7.395961022,3.383147584,0.087704016
Hungars Creek,2018,1,1.931908602,2.20206478,0.05708587
Hungars Creek,2018,2,6.298519345,2.552635295,0.069628836
Hungars Creek,2018,3,7.230698925,1.680144555,0.043555719
Hungars Creek,2018,4,12.58563194,2.283771162,0.060182654
Hungars Creek,2018,5,21.21414651,2.988868804,0.077482814
Hungars Creek,2018,6,25.59418589,2.376644677,0.061019896
Hungars Creek,2018,7,27.46359543,1.442715688,0.037400662
Hungars Creek,2018,8,28.45659274,1.357503154,0.03519163
Hungars Creek,2018,9,27.10594444,1.662009575,0.043797798
Hungars Creek,2018,10,20.3813172,4.661747093,0.120850164
Hungars Creek,2018,11,12.40984028,3.50124688,0.092265957
Hungars Creek,2018,12,8.348676075,1.427153028,0.036997219
Hungars Creek,2019,1,6.598326613,2.386035722,0.061855095
Hungars Creek,2019,2,6.937537202,1.160788287,0.031663096
Hungars Creek,2019,3,9.292224462,2.148128529,0.055687638
Hungars Creek,2019,4,15.59308333,3.105563515,0.081838784
Hungars Creek,2019,5,22.02625672,2.523051366,0.06540706
Hungars Creek,2019,6,27.58885776,1.571733712,0.042126885
Hungars Creek,2019,7,28.71930108,1.585990167,0.04111488
Hungars Creek,2019,8,27.00091398,1.750407034,0.045377189
Hungars Creek,2019,9,25.12688889,1.425925022,0.037576424
Hungars Creek,2019,10,20.02557124,2.685223622,0.06961118
Hungars Creek,2019,11,11.54111806,2.816146276,0.07421197
Hungars Creek,2019,12,8.231572581,1.566053066,0.040598035
Hungars Creek,2020,1,7.613884409,2.132804265,0.055290375
Hungars Creek,2020,2,7.750854885,1.120607852,0.030035443
Hungars Creek,2020,3,10.72354167,2.174548726,0.05637255
Hungars Creek,2020,4,14.16270833,1.659330399,0.043727195
Hungars Creek,2020,5,18.1099664,2.538557446,0.065809036
Hungars Creek,2020,6,24.19336207,2.355032677,0.063121501
Hungars Creek,2020,7,29.14397849,1.528201744,0.039616785
Hungars Creek,2020,8,28.06542339,1.165636923,0.03021773
Hungars Creek,2020,9,24.0046875,3.235897876,0.085273396
Hungars Creek,2020,10,19.61859543,1.291675006,0.033485115
Hungars Creek,2020,11,14.30679167,2.604834813,0.068643424
Hungars Creek,2020,12,8.305551075,1.96874737,0.051037398
Hungars Creek,2021,1,5.913158602,1.696841473,0.043988566
Hungars Creek,2021,2,4.293407738,1.291501805,0.0352286
Hungars Creek,2021,3,9.459415323,2.885207594,0.074795523
Hungars Creek,2021,4,14.38241667,2.500524502,0.065894606
Hungars Creek,2021,5,19.47016801,2.334416236,0.060516922
Hungars Creek,2021,6,25.05928879,2.132793181,0.057164858
Hungars Creek,2021,7,27.79615591,1.394366659,0.036147272
Hungars Creek,2021,8,28.08031586,1.74897475,0.045340058
Hungars Creek,2021,9,25.24652083,1.724722187,0.04545042
Hungars Creek,2021,10,20.83735887,2.317350556,0.060074515
Hungars Creek,2021,11,12.03348611,3.101129824,0.081721946
Hungars Creek,2021,12,9.410967742,1.180625655,0.030606294
Poquoson Flats,2017,6,26.84145833,1.194884088,0.057488887
Poquoson Flats,2017,7,28.78418011,1.543982658,0.040025886
Poquoson Flats,2017,8,27.11479861,1.636413887,0.043123292
Poquoson Flats,2017,9,23.8159206,3.202120304,0.083774633
Poquoson Flats,2017,10,20.65690188,2.786121771,0.072226842
Poquoson Flats,2017,11,12.93555556,3.067210203,0.080828086
Poquoson Flats,2017,12,7.442419355,3.17270978,0.08224867
Poquoson Flats,2018,1,2.791008065,2.888610928,0.07488375
Poquoson Flats,2018,2,8.406741071,3.773573523,0.102932657
Poquoson Flats,2018,3,8.207244624,2.04328281,0.052969639
Poquoson Flats,2018,4,14.00155556,2.528702023,0.066637149
Poquoson Flats,2018,5,23.15981183,2.849616398,0.073872864
Poquoson Flats,2018,6,26.99393601,1.778237115,0.048505394
Poquoson Flats,2019,6,27.76341346,1.864381621,0.074634997
Poquoson Flats,2019,7,29.41190188,1.532088675,0.039717549
Poquoson Flats,2019,8,27.57229839,1.814041352,0.047026831
Poquoson Flats,2019,9,25.43942361,2.076351511,0.054716667
Poquoson Flats,2019,10,20.08698925,2.523652618,0.065422646
Poquoson Flats,2019,11,11.61340278,2.664572964,0.070217663
Poquoson Flats,2019,12,8.27405914,1.605848357,0.041629679
Poquoson Flats,2020,1,8.160134409,2.421020112,0.062762023
Poquoson Flats,2020,2,8.33987069,1.541544497,0.041317729
Poquoson Flats,2020,3,12.37864919,2.86199123,0.074193666
Poquoson Flats,2020,4,14.96797917,1.829013644,0.048198742
Poquoson Flats,2020,5,18.93682796,2.942721456,0.0762865
Poquoson Flats,2020,6,25.15592672,2.644965594,0.070892519
Poquoson Flats,2020,7,30.03094758,1.151182242,0.029843009
Poquoson Flats,2020,8,28.18300403,1.230978712,0.031911637
Poquoson Flats,2020,9,23.56436806,3.331883838,0.087802849
Poquoson Flats,2020,10,19.45798387,1.372481236,0.035579919
Poquoson Flats,2020,11,14.38741667,2.529553874,0.066659598
Poquoson Flats,2020,12,7.952587366,1.933520843,0.050124193
Poquoson Flats,2021,1,5.996848118,1.43707778,0.037254506
Poquoson Flats,2021,2,4.851622024,1.78941112,0.04881019
Poquoson Flats,2021,3,10.6488172,3.324686162,0.086188474
Poquoson Flats,2021,4,15.75688889,2.722646801,0.071748043
Poquoson Flats,2021,5,20.53935484,3.084608381,0.079964747
Poquoson Flats,2021,6,25.48948276,2.163983737,0.058000852
Poquoson Flats,2021,7,28.34337366,1.312761292,0.034031751
Poquoson Flats,2021,8,28.66231183,1.972817744,0.051142918
Poquoson Flats,2021,9,25.20375694,1.746186906,0.046016065
Poquoson Flats,2021,10,20.7516129,2.18311906,0.056594725
Poquoson Flats,2021,11,12.17779861,2.641969742,0.069622016
Poquoson Flats,2021,12,9.655819892,1.771192517,0.045916027
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
